family,dataset,log_type,path,rows
benign,benign_2017-05-01_normal,http,D:\ResearchPaper\BenignTraffic\zeek_logs\benign_2017-05-01_normal\http.log,7119
benign,benign_2017-05-01_normal,ssl,D:\ResearchPaper\BenignTraffic\zeek_logs\benign_2017-05-01_normal\ssl.log,5275
benign,benign_2017-05-01_normal,x509,D:\ResearchPaper\BenignTraffic\zeek_logs\benign_2017-05-01_normal\x509.log,737
benign,benign_CTU-Normal-20-2017-04-30_win-normal,conn,D:\ResearchPaper\BenignTraffic\zeek_logs\benign_CTU-Normal-20-2017-04-30_win-normal\conn.log,18892
benign,benign_CTU-Normal-20-2017-04-30_win-normal,dns,D:\ResearchPaper\BenignTraffic\zeek_logs\benign_CTU-Normal-20-2017-04-30_win-normal\dns.log,15089
benign,benign_CTU-Normal-20-2017-04-30_win-normal,http,D:\ResearchPaper\BenignTraffic\zeek_logs\benign_CTU-Normal-20-2017-04-30_win-normal\http.log,1976
benign,benign_CTU-Normal-20-2017-04-30_win-normal,ssl,D:\ResearchPaper\BenignTraffic\zeek_logs\benign_CTU-Normal-20-2017-04-30_win-normal\ssl.log,2464
benign,benign_CTU-Normal-20-2017-04-30_win-normal,x509,D:\ResearchPaper\BenignTraffic\zeek_logs\benign_CTU-Normal-20-2017-04-30_win-normal\x509.log,363
benign,benign_Monday-WorkingHours,conn,D:\ResearchPaper\BenignTraffic\zeek_logs\benign_Monday-WorkingHours\conn.log,375412
benign,benign_Monday-WorkingHours,dns,D:\ResearchPaper\BenignTraffic\zeek_logs\benign_Monday-WorkingHours\dns.log,440905
benign,benign_Monday-WorkingHours,http,D:\ResearchPaper\BenignTraffic\zeek_logs\benign_Monday-WorkingHours\http.log,54960
benign,benign_Monday-WorkingHours,ssl,D:\ResearchPaper\BenignTraffic\zeek_logs\benign_Monday-WorkingHours\ssl.log,92975
benign,benign_Monday-WorkingHours,x509,D:\ResearchPaper\BenignTraffic\zeek_logs\benign_Monday-WorkingHours\x509.log,2369
benign,benign_amazon_https,conn,D:\ResearchPaper\BenignTraffic\zeek_logs\benign_amazon_https\conn.log,664
benign,benign_amazon_https,ssl,D:\ResearchPaper\BenignTraffic\zeek_logs\benign_amazon_https\ssl.log,600
benign,benign_amazon_https,x509,D:\ResearchPaper\BenignTraffic\zeek_logs\benign_amazon_https\x509.log,7
benign,benign_jquery_http,conn,D:\ResearchPaper\BenignTraffic\zeek_logs\benign_jquery_http\conn.log,42
benign,benign_jquery_http,http,D:\ResearchPaper\BenignTraffic\zeek_logs\benign_jquery_http\http.log,126
cobalt_strike,2022-08-08-IcedID-with-Cobalt-Strike-carved,conn,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2022-08-08-IcedID-with-Cobalt-Strike-carved\conn.log,497
cobalt_strike,2022-08-08-IcedID-with-Cobalt-Strike-carved,dns,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2022-08-08-IcedID-with-Cobalt-Strike-carved\dns.log,28
cobalt_strike,2022-08-08-IcedID-with-Cobalt-Strike-carved,http,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2022-08-08-IcedID-with-Cobalt-Strike-carved\http.log,3
cobalt_strike,2022-08-08-IcedID-with-Cobalt-Strike-carved,ssl,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2022-08-08-IcedID-with-Cobalt-Strike-carved\ssl.log,467
cobalt_strike,2022-08-08-IcedID-with-Cobalt-Strike-carved,x509,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2022-08-08-IcedID-with-Cobalt-Strike-carved\x509.log,3
cobalt_strike,2022-10-06-IcedID-with-Cobalt-Strike-santized-and-carved,conn,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2022-10-06-IcedID-with-Cobalt-Strike-santized-and-carved\conn.log,107
cobalt_strike,2022-10-06-IcedID-with-Cobalt-Strike-santized-and-carved,dns,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2022-10-06-IcedID-with-Cobalt-Strike-santized-and-carved\dns.log,14
cobalt_strike,2022-10-06-IcedID-with-Cobalt-Strike-santized-and-carved,http,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2022-10-06-IcedID-with-Cobalt-Strike-santized-and-carved\http.log,2
cobalt_strike,2022-10-06-IcedID-with-Cobalt-Strike-santized-and-carved,ssl,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2022-10-06-IcedID-with-Cobalt-Strike-santized-and-carved\ssl.log,89
cobalt_strike,2022-10-06-IcedID-with-Cobalt-Strike-santized-and-carved,x509,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2022-10-06-IcedID-with-Cobalt-Strike-santized-and-carved\x509.log,2
cobalt_strike,2022-11-28-BB08-Qakbot-with-Cobakt-Strike-and-VNC-traffic,conn,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2022-11-28-BB08-Qakbot-with-Cobakt-Strike-and-VNC-traffic\conn.log,551
cobalt_strike,2022-11-28-BB08-Qakbot-with-Cobakt-Strike-and-VNC-traffic,dns,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2022-11-28-BB08-Qakbot-with-Cobakt-Strike-and-VNC-traffic\dns.log,208
cobalt_strike,2022-11-28-BB08-Qakbot-with-Cobakt-Strike-and-VNC-traffic,http,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2022-11-28-BB08-Qakbot-with-Cobakt-Strike-and-VNC-traffic\http.log,9
cobalt_strike,2022-11-28-BB08-Qakbot-with-Cobakt-Strike-and-VNC-traffic,ssl,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2022-11-28-BB08-Qakbot-with-Cobakt-Strike-and-VNC-traffic\ssl.log,243
cobalt_strike,2022-11-28-BB08-Qakbot-with-Cobakt-Strike-and-VNC-traffic,x509,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2022-11-28-BB08-Qakbot-with-Cobakt-Strike-and-VNC-traffic\x509.log,104
cobalt_strike,2022-12-07-Bumblebee-infection-with-Cobalt-Strike,conn,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2022-12-07-Bumblebee-infection-with-Cobalt-Strike\conn.log,348
cobalt_strike,2022-12-07-Bumblebee-infection-with-Cobalt-Strike,dns,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2022-12-07-Bumblebee-infection-with-Cobalt-Strike\dns.log,108
cobalt_strike,2022-12-07-Bumblebee-infection-with-Cobalt-Strike,http,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2022-12-07-Bumblebee-infection-with-Cobalt-Strike\http.log,5
cobalt_strike,2022-12-07-Bumblebee-infection-with-Cobalt-Strike,ssl,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2022-12-07-Bumblebee-infection-with-Cobalt-Strike\ssl.log,184
cobalt_strike,2022-12-07-Bumblebee-infection-with-Cobalt-Strike,x509,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2022-12-07-Bumblebee-infection-with-Cobalt-Strike\x509.log,26
cobalt_strike,2022-12-20-IcedID-infection-with-Cobalt-Strike,conn,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2022-12-20-IcedID-infection-with-Cobalt-Strike\conn.log,326
cobalt_strike,2022-12-20-IcedID-infection-with-Cobalt-Strike,dns,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2022-12-20-IcedID-infection-with-Cobalt-Strike\dns.log,107
cobalt_strike,2022-12-20-IcedID-infection-with-Cobalt-Strike,http,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2022-12-20-IcedID-infection-with-Cobalt-Strike\http.log,3
cobalt_strike,2022-12-20-IcedID-infection-with-Cobalt-Strike,ssl,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2022-12-20-IcedID-infection-with-Cobalt-Strike\ssl.log,131
cobalt_strike,2022-12-20-IcedID-infection-with-Cobalt-Strike,x509,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2022-12-20-IcedID-infection-with-Cobalt-Strike\x509.log,12
cobalt_strike,2023-01-12-IcedID-infection-with-Cobalt-Strike,conn,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2023-01-12-IcedID-infection-with-Cobalt-Strike\conn.log,292
cobalt_strike,2023-01-12-IcedID-infection-with-Cobalt-Strike,dns,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2023-01-12-IcedID-infection-with-Cobalt-Strike\dns.log,112
cobalt_strike,2023-01-12-IcedID-infection-with-Cobalt-Strike,http,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2023-01-12-IcedID-infection-with-Cobalt-Strike\http.log,5
cobalt_strike,2023-01-12-IcedID-infection-with-Cobalt-Strike,ssl,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2023-01-12-IcedID-infection-with-Cobalt-Strike\ssl.log,99
cobalt_strike,2023-01-12-IcedID-infection-with-Cobalt-Strike,x509,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2023-01-12-IcedID-infection-with-Cobalt-Strike\x509.log,32
cobalt_strike,2023-01-31-BB12-Qakbot-with-Cobalt-Strike-and-Dark-Cat-VNC-traffic,conn,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2023-01-31-BB12-Qakbot-with-Cobalt-Strike-and-Dark-Cat-VNC-traffic\conn.log,781
cobalt_strike,2023-01-31-BB12-Qakbot-with-Cobalt-Strike-and-Dark-Cat-VNC-traffic,dns,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2023-01-31-BB12-Qakbot-with-Cobalt-Strike-and-Dark-Cat-VNC-traffic\dns.log,307
cobalt_strike,2023-01-31-BB12-Qakbot-with-Cobalt-Strike-and-Dark-Cat-VNC-traffic,http,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2023-01-31-BB12-Qakbot-with-Cobalt-Strike-and-Dark-Cat-VNC-traffic\http.log,5
cobalt_strike,2023-01-31-BB12-Qakbot-with-Cobalt-Strike-and-Dark-Cat-VNC-traffic,ssl,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2023-01-31-BB12-Qakbot-with-Cobalt-Strike-and-Dark-Cat-VNC-traffic\ssl.log,469
cobalt_strike,2023-01-31-BB12-Qakbot-with-Cobalt-Strike-and-Dark-Cat-VNC-traffic,x509,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2023-01-31-BB12-Qakbot-with-Cobalt-Strike-and-Dark-Cat-VNC-traffic\x509.log,39
cobalt_strike,2023-05-10-obama262-Qakbot-with-BlackCat-VNC-and-Cobalt-Strike,conn,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2023-05-10-obama262-Qakbot-with-BlackCat-VNC-and-Cobalt-Strike\conn.log,560
cobalt_strike,2023-05-10-obama262-Qakbot-with-BlackCat-VNC-and-Cobalt-Strike,dns,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2023-05-10-obama262-Qakbot-with-BlackCat-VNC-and-Cobalt-Strike\dns.log,177
cobalt_strike,2023-05-10-obama262-Qakbot-with-BlackCat-VNC-and-Cobalt-Strike,http,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2023-05-10-obama262-Qakbot-with-BlackCat-VNC-and-Cobalt-Strike\http.log,17
cobalt_strike,2023-05-10-obama262-Qakbot-with-BlackCat-VNC-and-Cobalt-Strike,ssl,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2023-05-10-obama262-Qakbot-with-BlackCat-VNC-and-Cobalt-Strike\ssl.log,266
cobalt_strike,2023-05-10-obama262-Qakbot-with-BlackCat-VNC-and-Cobalt-Strike,x509,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2023-05-10-obama262-Qakbot-with-BlackCat-VNC-and-Cobalt-Strike\x509.log,46
cobalt_strike,2023-07-12-Gozi-infection-with-Cobalt-Strike,conn,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2023-07-12-Gozi-infection-with-Cobalt-Strike\conn.log,1119
cobalt_strike,2023-07-12-Gozi-infection-with-Cobalt-Strike,dns,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2023-07-12-Gozi-infection-with-Cobalt-Strike\dns.log,82
cobalt_strike,2023-07-12-Gozi-infection-with-Cobalt-Strike,http,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2023-07-12-Gozi-infection-with-Cobalt-Strike\http.log,95
cobalt_strike,2023-07-12-Gozi-infection-with-Cobalt-Strike,ssl,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2023-07-12-Gozi-infection-with-Cobalt-Strike\ssl.log,847
cobalt_strike,2023-07-12-Gozi-infection-with-Cobalt-Strike,x509,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2023-07-12-Gozi-infection-with-Cobalt-Strike\x509.log,32
cobalt_strike,2023-10-03-Pikabot-infection-with-Cobalt-Strike,conn,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2023-10-03-Pikabot-infection-with-Cobalt-Strike\conn.log,438
cobalt_strike,2023-10-03-Pikabot-infection-with-Cobalt-Strike,dns,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2023-10-03-Pikabot-infection-with-Cobalt-Strike\dns.log,59
cobalt_strike,2023-10-03-Pikabot-infection-with-Cobalt-Strike,http,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2023-10-03-Pikabot-infection-with-Cobalt-Strike\http.log,7
cobalt_strike,2023-10-03-Pikabot-infection-with-Cobalt-Strike,ssl,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2023-10-03-Pikabot-infection-with-Cobalt-Strike\ssl.log,273
cobalt_strike,2023-10-03-Pikabot-infection-with-Cobalt-Strike,x509,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2023-10-03-Pikabot-infection-with-Cobalt-Strike\x509.log,23
cobalt_strike,2023-10-18-IcedID-forked-variant-infection-with-follow-up-activity-Cobalt-Strike,conn,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2023-10-18-IcedID-forked-variant-infection-with-follow-up-activity-Cobalt-Strike\conn.log,178
cobalt_strike,2023-10-18-IcedID-forked-variant-infection-with-follow-up-activity-Cobalt-Strike,dns,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2023-10-18-IcedID-forked-variant-infection-with-follow-up-activity-Cobalt-Strike\dns.log,142
cobalt_strike,2023-10-18-IcedID-forked-variant-infection-with-follow-up-activity-Cobalt-Strike,http,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2023-10-18-IcedID-forked-variant-infection-with-follow-up-activity-Cobalt-Strike\http.log,32
cobalt_strike,2023-10-18-IcedID-forked-variant-infection-with-follow-up-activity-Cobalt-Strike,ssl,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2023-10-18-IcedID-forked-variant-infection-with-follow-up-activity-Cobalt-Strike\ssl.log,65
cobalt_strike,2023-10-18-IcedID-forked-variant-infection-with-follow-up-activity-Cobalt-Strike,x509,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2023-10-18-IcedID-forked-variant-infection-with-follow-up-activity-Cobalt-Strike\x509.log,20
cobalt_strike,2023-11-06-404TDS-to-malware-to-Cobalt-Strike,conn,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2023-11-06-404TDS-to-malware-to-Cobalt-Strike\conn.log,2335
cobalt_strike,2023-11-06-404TDS-to-malware-to-Cobalt-Strike,dns,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2023-11-06-404TDS-to-malware-to-Cobalt-Strike\dns.log,18
cobalt_strike,2023-11-06-404TDS-to-malware-to-Cobalt-Strike,http,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2023-11-06-404TDS-to-malware-to-Cobalt-Strike\http.log,2754
cobalt_strike,2023-11-06-404TDS-to-malware-to-Cobalt-Strike,ssl,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2023-11-06-404TDS-to-malware-to-Cobalt-Strike\ssl.log,7
cobalt_strike,2023-11-06-404TDS-to-malware-to-Cobalt-Strike,x509,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2023-11-06-404TDS-to-malware-to-Cobalt-Strike\x509.log,4
cobalt_strike,2023-12-18-TA577-Pikabot-infection-with-Cobalt-Strike,conn,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2023-12-18-TA577-Pikabot-infection-with-Cobalt-Strike\conn.log,288
cobalt_strike,2023-12-18-TA577-Pikabot-infection-with-Cobalt-Strike,dns,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2023-12-18-TA577-Pikabot-infection-with-Cobalt-Strike\dns.log,46
cobalt_strike,2023-12-18-TA577-Pikabot-infection-with-Cobalt-Strike,http,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2023-12-18-TA577-Pikabot-infection-with-Cobalt-Strike\http.log,4
cobalt_strike,2023-12-18-TA577-Pikabot-infection-with-Cobalt-Strike,ssl,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2023-12-18-TA577-Pikabot-infection-with-Cobalt-Strike\ssl.log,186
cobalt_strike,2023-12-18-TA577-Pikabot-infection-with-Cobalt-Strike,x509,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2023-12-18-TA577-Pikabot-infection-with-Cobalt-Strike\x509.log,35
cobalt_strike,2024-04-18-SSLoad-with-follow-up-Cobalt-Strike-DLL,conn,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2024-04-18-SSLoad-with-follow-up-Cobalt-Strike-DLL\conn.log,199
cobalt_strike,2024-04-18-SSLoad-with-follow-up-Cobalt-Strike-DLL,dns,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2024-04-18-SSLoad-with-follow-up-Cobalt-Strike-DLL\dns.log,73
cobalt_strike,2024-04-18-SSLoad-with-follow-up-Cobalt-Strike-DLL,http,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2024-04-18-SSLoad-with-follow-up-Cobalt-Strike-DLL\http.log,273
cobalt_strike,2024-04-18-SSLoad-with-follow-up-Cobalt-Strike-DLL,ssl,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2024-04-18-SSLoad-with-follow-up-Cobalt-Strike-DLL\ssl.log,51
cobalt_strike,2024-04-18-SSLoad-with-follow-up-Cobalt-Strike-DLL,x509,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\2024-04-18-SSLoad-with-follow-up-Cobalt-Strike-DLL\x509.log,10
cobalt_strike,Cobalt-Strike-cs2_amazon_http,conn,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\Cobalt-Strike-cs2_amazon_http\conn.log,2594
cobalt_strike,Cobalt-Strike-cs2_amazon_http,http,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\Cobalt-Strike-cs2_amazon_http\http.log,42
cobalt_strike,Cobalt-Strike-cs2_amazon_https,conn,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\Cobalt-Strike-cs2_amazon_https\conn.log,28
cobalt_strike,Cobalt-Strike-cs2_amazon_https,ssl,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\Cobalt-Strike-cs2_amazon_https\ssl.log,27
cobalt_strike,Cobalt-Strike-cs2_default_https,conn,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\Cobalt-Strike-cs2_default_https\conn.log,84
cobalt_strike,Cobalt-Strike-cs2_default_https,ssl,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\Cobalt-Strike-cs2_default_https\ssl.log,83
cobalt_strike,Cobalt-Strike-cs2_dns_default,conn,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\Cobalt-Strike-cs2_dns_default\conn.log,7999
cobalt_strike,Cobalt-Strike-cs2_dns_default,dns,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\Cobalt-Strike-cs2_dns_default\dns.log,8382
cobalt_strike,Cobalt-Strike-cs2_dns_default_with_amazon,conn,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\Cobalt-Strike-cs2_dns_default_with_amazon\conn.log,11834
cobalt_strike,Cobalt-Strike-cs2_dns_default_with_amazon,dns,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\Cobalt-Strike-cs2_dns_default_with_amazon\dns.log,12461
cobalt_strike,Cobalt-Strike-cs3_amazon_http,conn,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\Cobalt-Strike-cs3_amazon_http\conn.log,50
cobalt_strike,Cobalt-Strike-cs3_amazon_http,http,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\Cobalt-Strike-cs3_amazon_http\http.log,49
cobalt_strike,Cobalt-Strike-cs3_amazon_https,conn,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\Cobalt-Strike-cs3_amazon_https\conn.log,2587
cobalt_strike,Cobalt-Strike-cs3_amazon_https,http,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\Cobalt-Strike-cs3_amazon_https\http.log,1
cobalt_strike,Cobalt-Strike-cs3_amazon_https,ssl,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\Cobalt-Strike-cs3_amazon_https\ssl.log,39
cobalt_strike,Cobalt-Strike-cs3_default_https,conn,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\Cobalt-Strike-cs3_default_https\conn.log,2633
cobalt_strike,Cobalt-Strike-cs3_default_https,http,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\Cobalt-Strike-cs3_default_https\http.log,1
cobalt_strike,Cobalt-Strike-cs3_default_https,ssl,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\Cobalt-Strike-cs3_default_https\ssl.log,85
cobalt_strike,Cobalt-Strike-cs4_amazon_http,conn,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\Cobalt-Strike-cs4_amazon_http\conn.log,15
cobalt_strike,Cobalt-Strike-cs4_amazon_http,http,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\Cobalt-Strike-cs4_amazon_http\http.log,15
cobalt_strike,Cobalt-Strike-cs4_amazon_https,conn,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\Cobalt-Strike-cs4_amazon_https\conn.log,30
cobalt_strike,Cobalt-Strike-cs4_amazon_https,ssl,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\Cobalt-Strike-cs4_amazon_https\ssl.log,29
cobalt_strike,Cobalt-Strike-cs5_amazon_http,conn,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\Cobalt-Strike-cs5_amazon_http\conn.log,16
cobalt_strike,Cobalt-Strike-cs5_amazon_http,http,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\Cobalt-Strike-cs5_amazon_http\http.log,16
cobalt_strike,Cobalt-Strike-cs5_amazon_https,conn,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\Cobalt-Strike-cs5_amazon_https\conn.log,39
cobalt_strike,Cobalt-Strike-cs5_amazon_https,ssl,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\Cobalt-Strike-cs5_amazon_https\ssl.log,38
cobalt_strike,Cobalt-Strike-cs_amazon_http,conn,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\Cobalt-Strike-cs_amazon_http\conn.log,287
cobalt_strike,Cobalt-Strike-cs_amazon_http,http,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\Cobalt-Strike-cs_amazon_http\http.log,51
cobalt_strike,Cobalt-Strike-cs_amazon_https,conn,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\Cobalt-Strike-cs_amazon_https\conn.log,24
cobalt_strike,Cobalt-Strike-cs_amazon_https,ssl,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\Cobalt-Strike-cs_amazon_https\ssl.log,23
cobalt_strike,Cobalt-Strike-cs_default_https,conn,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\Cobalt-Strike-cs_default_https\conn.log,78
cobalt_strike,Cobalt-Strike-cs_default_https,ssl,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\Cobalt-Strike-cs_default_https\ssl.log,77
cobalt_strike,Cobalt-Strike-cs_dns_default,conn,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\Cobalt-Strike-cs_dns_default\conn.log,6353
cobalt_strike,Cobalt-Strike-cs_dns_default,dns,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\Cobalt-Strike-cs_dns_default\dns.log,6706
cobalt_strike,Cobalt-Strike-cs_dns_default_with_amazon,conn,D:\ResearchPaper\Beacons\CobaltStrike\zeek_logs\Cobalt-Strike-cs_dns_default_with_amazon\conn.log,11834
