experiment,model,feature,selection_score
binary_detection,logistic_regression,num__burstiness,740.0539859376597
binary_detection,logistic_regression,cat__dns_qtype_A,599.4685374475191
binary_detection,logistic_regression,cat__proto_udp,594.4959207827519
binary_detection,logistic_regression,cat__dns_qtype_PTR,569.2012192909115
binary_detection,logistic_regression,num__http_user_agent_reuse_mean,564.1076210329867
binary_detection,logistic_regression,num__tls_sni_present_ratio,541.0834535876162
binary_detection,logistic_regression,cat__service_unknown,539.096683033754
binary_detection,logistic_regression,cat__tls_cipher_TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,534.532606136715
binary_detection,logistic_regression,cat__tls_curve_X25519MLKEM768,516.95266257552
binary_detection,decision_tree,num__unique_destinations_window,134320.23800985818
binary_detection,decision_tree,cat__tls_version_TLSv13,122157.38933576661
binary_detection,decision_tree,num__source_connections_window,82792.38478539333
binary_detection,decision_tree,cat__tls_version_TLSv12,53561.972849970356
binary_detection,decision_tree,cat__tls_cipher_TLS_AES_256_GCM_SHA384,47904.9071735955
binary_detection,decision_tree,num__tls_sni_reuse_count_mean,20336.065934942057
binary_detection,decision_tree,cat__tls_curve_x25519,19682.232968063305
binary_detection,decision_tree,cat__tls_cipher_TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,17156.628086893143
binary_detection,decision_tree,num__active_span_seconds,10932.010622777963
binary_detection,decision_tree,num__bytes_per_packet,9552.307236025632
binary_detection,decision_tree,cat__tls_curve_secp256r1,8727.467765264575
binary_detection,decision_tree,num__dns_ttl_std,7222.6777509165195
binary_detection,decision_tree,cat__tls_cipher_TLS_AES_128_GCM_SHA256,5973.9416653684275
binary_detection,decision_tree,num__dns_unique_queries_window,5922.440550882561
binary_detection,decision_tree,cat__tls_curve_unknown,4418.206141035954
binary_detection,decision_tree,num__mean_iat,4058.172146084019
binary_detection,decision_tree,num__cv_iat,4033.8594192190753
binary_detection,decision_tree,num__tls_sni_entropy_mean,4014.5830551274744
binary_detection,decision_tree,num__duration_median,3842.4353936485372
binary_detection,decision_tree,num__duration_mean,3808.8007839791817
binary_detection,decision_tree,cat__tls_next_protocol_unknown,3696.386834135852
binary_detection,decision_tree,num__tls_established_ratio,3620.5254659712023
binary_detection,decision_tree,cat__service_http,3484.3039725984213
binary_detection,decision_tree,num__median_iat,3462.007104850766
binary_detection,decision_tree,cat__conn_state_REJ,2543.0968861266288
binary_detection,decision_tree,num__mad_iat,2523.2129629835804
binary_detection,decision_tree,num__std_iat,2164.3171328996586
binary_detection,decision_tree,num__tls_resumed_ratio,1988.7267878369278
binary_detection,decision_tree,cat__tls_next_protocol_h2,1661.6261489028489
binary_detection,decision_tree,cat__tls_next_protocol_http/1.1,1605.063262992208
binary_detection,decision_tree,num__duration_std,1579.9243286667481
binary_detection,decision_tree,cat__service_ssl,1420.4656226235847
binary_detection,decision_tree,num__dns_ttl_mean,1367.7384994242034
binary_detection,decision_tree,num__tls_sni_length_mean,1254.723637541791
binary_detection,decision_tree,num__tls_sni_digit_ratio_mean,1178.9174892589224
binary_detection,decision_tree,cat__tls_version_TLSv10,1144.0413642069607
binary_detection,decision_tree,num__http_status_code_median,1041.026782803091
binary_detection,decision_tree,num__dns_query_length_mean,1017.4440145304825
binary_detection,decision_tree,cat__tls_cipher_TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,1011.778153197506
binary_detection,decision_tree,cat__tls_cipher_TLS_RSA_WITH_AES_128_CBC_SHA,917.0062701284694
binary_detection,decision_tree,num__dns_answer_count_mean,760.7466079967587
binary_detection,decision_tree,num__burstiness,740.0539859376597
binary_detection,decision_tree,cat__dns_qtype_A,599.4685374475191
binary_detection,decision_tree,cat__proto_udp,594.4959207827519
binary_detection,decision_tree,cat__dns_qtype_PTR,569.2012192909115
binary_detection,decision_tree,num__http_user_agent_reuse_mean,564.1076210329867
binary_detection,decision_tree,num__tls_sni_present_ratio,541.0834535876162
binary_detection,decision_tree,cat__service_unknown,539.096683033754
binary_detection,decision_tree,cat__tls_cipher_TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,534.532606136715
binary_detection,decision_tree,cat__tls_curve_X25519MLKEM768,516.95266257552
binary_detection,random_forest,num__unique_destinations_window,134320.23800985818
binary_detection,random_forest,cat__tls_version_TLSv13,122157.38933576661
binary_detection,random_forest,num__source_connections_window,82792.38478539333
binary_detection,random_forest,cat__tls_version_TLSv12,53561.972849970356
binary_detection,random_forest,cat__tls_cipher_TLS_AES_256_GCM_SHA384,47904.9071735955
binary_detection,random_forest,num__tls_sni_reuse_count_mean,20336.065934942057
binary_detection,random_forest,cat__tls_curve_x25519,19682.232968063305
binary_detection,random_forest,cat__tls_cipher_TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,17156.628086893143
binary_detection,random_forest,num__active_span_seconds,10932.010622777963
binary_detection,random_forest,num__bytes_per_packet,9552.307236025632
binary_detection,random_forest,cat__tls_curve_secp256r1,8727.467765264575
binary_detection,random_forest,num__dns_ttl_std,7222.6777509165195
binary_detection,random_forest,cat__tls_cipher_TLS_AES_128_GCM_SHA256,5973.9416653684275
binary_detection,random_forest,num__dns_unique_queries_window,5922.440550882561
binary_detection,random_forest,cat__tls_curve_unknown,4418.206141035954
binary_detection,random_forest,num__mean_iat,4058.172146084019
binary_detection,random_forest,num__cv_iat,4033.8594192190753
binary_detection,random_forest,num__tls_sni_entropy_mean,4014.5830551274744
binary_detection,random_forest,num__duration_median,3842.4353936485372
binary_detection,random_forest,num__duration_mean,3808.8007839791817
binary_detection,random_forest,cat__tls_next_protocol_unknown,3696.386834135852
binary_detection,random_forest,num__tls_established_ratio,3620.5254659712023
binary_detection,random_forest,cat__service_http,3484.3039725984213
binary_detection,random_forest,num__median_iat,3462.007104850766
binary_detection,random_forest,cat__conn_state_REJ,2543.0968861266288
binary_detection,random_forest,num__mad_iat,2523.2129629835804
binary_detection,random_forest,num__std_iat,2164.3171328996586
binary_detection,random_forest,num__tls_resumed_ratio,1988.7267878369278
binary_detection,random_forest,cat__tls_next_protocol_h2,1661.6261489028489
binary_detection,random_forest,cat__tls_next_protocol_http/1.1,1605.063262992208
binary_detection,random_forest,num__duration_std,1579.9243286667481
binary_detection,random_forest,cat__service_ssl,1420.4656226235847
binary_detection,random_forest,num__dns_ttl_mean,1367.7384994242034
binary_detection,random_forest,num__tls_sni_length_mean,1254.723637541791
binary_detection,random_forest,num__tls_sni_digit_ratio_mean,1178.9174892589224
binary_detection,random_forest,cat__tls_version_TLSv10,1144.0413642069607
binary_detection,random_forest,num__http_status_code_median,1041.026782803091
binary_detection,random_forest,num__dns_query_length_mean,1017.4440145304825
binary_detection,random_forest,cat__tls_cipher_TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,1011.778153197506
binary_detection,random_forest,cat__tls_cipher_TLS_RSA_WITH_AES_128_CBC_SHA,917.0062701284694
binary_detection,random_forest,num__dns_answer_count_mean,760.7466079967587
binary_detection,random_forest,num__burstiness,740.0539859376597
binary_detection,random_forest,cat__dns_qtype_A,599.4685374475191
binary_detection,random_forest,cat__proto_udp,594.4959207827519
binary_detection,random_forest,cat__dns_qtype_PTR,569.2012192909115
binary_detection,random_forest,num__http_user_agent_reuse_mean,564.1076210329867
binary_detection,random_forest,num__tls_sni_present_ratio,541.0834535876162
binary_detection,random_forest,cat__service_unknown,539.096683033754
binary_detection,random_forest,cat__tls_cipher_TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,534.532606136715
binary_detection,random_forest,cat__tls_curve_X25519MLKEM768,516.95266257552
multiclass_attribution,logistic_regression,cat__tls_version_TLSv13,171219.0462954276
multiclass_attribution,logistic_regression,num__unique_destinations_window,33585.38535648651
multiclass_attribution,logistic_regression,cat__tls_version_TLSv12,30054.847612083086
multiclass_attribution,logistic_regression,cat__tls_cipher_TLS_AES_256_GCM_SHA384,21963.288970765552
multiclass_attribution,logistic_regression,num__source_connections_window,20734.221696377994
multiclass_attribution,logistic_regression,cat__conn_state_REJ,18061.387029084097
multiclass_attribution,logistic_regression,cat__tls_cipher_TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,8027.383337288118
multiclass_attribution,logistic_regression,num__tls_sni_reuse_count_mean,7642.224466980561
multiclass_attribution,logistic_regression,cat__tls_curve_x25519,5005.8574571356385
multiclass_attribution,logistic_regression,cat__service_unknown,4525.9002368394185
multiclass_attribution,logistic_regression,num__bytes_per_packet,3651.2353613874566
multiclass_attribution,logistic_regression,num__active_span_seconds,3619.86669314942
multiclass_attribution,logistic_regression,num__http_request_body_fraction,2890.926098433965
multiclass_attribution,logistic_regression,cat__service_ssl,2776.259406327361
multiclass_attribution,logistic_regression,cat__conn_state_SF,2476.1123960808254
multiclass_attribution,logistic_regression,cat__tls_curve_secp256r1,2183.6786820874436
multiclass_attribution,logistic_regression,cat__tls_cipher_TLS_AES_128_GCM_SHA256,1953.4037064808047
multiclass_attribution,logistic_regression,num__dns_ttl_std,1913.034307107393
multiclass_attribution,logistic_regression,num__dns_unique_queries_window,1531.0983543461407
multiclass_attribution,logistic_regression,num__mean_iat,1414.5313529525233
multiclass_attribution,logistic_regression,cat__tls_cipher_TLS_RSA_WITH_AES_128_GCM_SHA256,1396.3480059150577
multiclass_attribution,logistic_regression,num__cv_iat,1369.6845437210827
multiclass_attribution,logistic_regression,cat__http_method_POST,1265.3959558583872
multiclass_attribution,logistic_regression,num__http_post_ratio,1249.645541253638
multiclass_attribution,logistic_regression,cat__http_method_GET,1236.8882968957537
multiclass_attribution,logistic_regression,num__median_iat,1226.9496698037137
multiclass_attribution,logistic_regression,num__http_get_ratio,1201.6146381744704
multiclass_attribution,logistic_regression,cat__tls_curve_unknown,1138.0712188843215
multiclass_attribution,logistic_regression,num__tls_sni_entropy_mean,1124.4146884678548
multiclass_attribution,logistic_regression,num__duration_median,1110.0473077207303
multiclass_attribution,logistic_regression,num__duration_mean,1101.5202020136953
multiclass_attribution,logistic_regression,cat__service_http,1100.222022478076
multiclass_attribution,logistic_regression,cat__tls_next_protocol_unknown,935.3490485226222
multiclass_attribution,logistic_regression,num__mad_iat,913.4544272967897
multiclass_attribution,logistic_regression,num__tls_established_ratio,905.2272761149532
multiclass_attribution,logistic_regression,"cat__service_quic,ssl",840.4911514340247
multiclass_attribution,logistic_regression,num__std_iat,829.708125540973
multiclass_attribution,logistic_regression,num__dns_span_minutes,748.2054430756049
multiclass_attribution,logistic_regression,num__http_request_body_len_mean,609.5977778544498
multiclass_attribution,logistic_regression,num__tls_sni_present_ratio,518.8620196355369
multiclass_attribution,logistic_regression,num__tls_resumed_ratio,516.9732456848899
multiclass_attribution,logistic_regression,num__http_uri_entropy_mean,497.38367504866477
multiclass_attribution,logistic_regression,num__dns_ttl_mean,435.52288253963206
multiclass_attribution,logistic_regression,cat__tls_next_protocol_h2,431.31803492941094
multiclass_attribution,logistic_regression,num__duration_std,420.0267984607534
multiclass_attribution,logistic_regression,cat__tls_curve_secp384r1,405.87037018843824
multiclass_attribution,logistic_regression,cat__tls_next_protocol_http/1.1,401.3050935614778
multiclass_attribution,logistic_regression,num__http_requests_window,348.90962180318655
multiclass_attribution,logistic_regression,num__tls_sni_length_mean,325.1063322597776
multiclass_attribution,logistic_regression,num__tls_sni_digit_ratio_mean,297.36472304231967
multiclass_attribution,decision_tree,cat__tls_version_TLSv13,171219.0462954276
multiclass_attribution,decision_tree,num__unique_destinations_window,33585.38535648651
multiclass_attribution,decision_tree,cat__tls_version_TLSv12,30054.847612083086
multiclass_attribution,decision_tree,cat__tls_cipher_TLS_AES_256_GCM_SHA384,21963.288970765552
multiclass_attribution,decision_tree,num__source_connections_window,20734.221696377994
multiclass_attribution,decision_tree,cat__conn_state_REJ,18061.387029084097
multiclass_attribution,decision_tree,cat__tls_cipher_TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,8027.383337288118
multiclass_attribution,decision_tree,num__tls_sni_reuse_count_mean,7642.224466980561
multiclass_attribution,decision_tree,cat__tls_curve_x25519,5005.8574571356385
multiclass_attribution,decision_tree,cat__service_unknown,4525.9002368394185
multiclass_attribution,decision_tree,num__bytes_per_packet,3651.2353613874566
multiclass_attribution,decision_tree,num__active_span_seconds,3619.86669314942
multiclass_attribution,decision_tree,num__http_request_body_fraction,2890.926098433965
multiclass_attribution,decision_tree,cat__service_ssl,2776.259406327361
multiclass_attribution,decision_tree,cat__conn_state_SF,2476.1123960808254
multiclass_attribution,decision_tree,cat__tls_curve_secp256r1,2183.6786820874436
multiclass_attribution,decision_tree,cat__tls_cipher_TLS_AES_128_GCM_SHA256,1953.4037064808047
multiclass_attribution,decision_tree,num__dns_ttl_std,1913.034307107393
multiclass_attribution,decision_tree,num__dns_unique_queries_window,1531.0983543461407
multiclass_attribution,decision_tree,num__mean_iat,1414.5313529525233
multiclass_attribution,decision_tree,cat__tls_cipher_TLS_RSA_WITH_AES_128_GCM_SHA256,1396.3480059150577
multiclass_attribution,decision_tree,num__cv_iat,1369.6845437210827
multiclass_attribution,decision_tree,cat__http_method_POST,1265.3959558583872
multiclass_attribution,decision_tree,num__http_post_ratio,1249.645541253638
multiclass_attribution,decision_tree,cat__http_method_GET,1236.8882968957537
multiclass_attribution,decision_tree,num__median_iat,1226.9496698037137
multiclass_attribution,decision_tree,num__http_get_ratio,1201.6146381744704
multiclass_attribution,decision_tree,cat__tls_curve_unknown,1138.0712188843215
multiclass_attribution,decision_tree,num__tls_sni_entropy_mean,1124.4146884678548
multiclass_attribution,decision_tree,num__duration_median,1110.0473077207303
multiclass_attribution,decision_tree,num__duration_mean,1101.5202020136953
multiclass_attribution,decision_tree,cat__service_http,1100.222022478076
multiclass_attribution,decision_tree,cat__tls_next_protocol_unknown,935.3490485226222
multiclass_attribution,decision_tree,num__mad_iat,913.4544272967897
multiclass_attribution,decision_tree,num__tls_established_ratio,905.2272761149532
multiclass_attribution,decision_tree,"cat__service_quic,ssl",840.4911514340247
multiclass_attribution,decision_tree,num__std_iat,829.708125540973
multiclass_attribution,decision_tree,num__dns_span_minutes,748.2054430756049
multiclass_attribution,decision_tree,num__http_request_body_len_mean,609.5977778544498
multiclass_attribution,decision_tree,num__tls_sni_present_ratio,518.8620196355369
multiclass_attribution,decision_tree,num__tls_resumed_ratio,516.9732456848899
multiclass_attribution,decision_tree,num__http_uri_entropy_mean,497.38367504866477
multiclass_attribution,decision_tree,num__dns_ttl_mean,435.52288253963206
multiclass_attribution,decision_tree,cat__tls_next_protocol_h2,431.31803492941094
multiclass_attribution,decision_tree,num__duration_std,420.0267984607534
multiclass_attribution,decision_tree,cat__tls_curve_secp384r1,405.87037018843824
multiclass_attribution,decision_tree,cat__tls_next_protocol_http/1.1,401.3050935614778
multiclass_attribution,decision_tree,num__http_requests_window,348.90962180318655
multiclass_attribution,decision_tree,num__tls_sni_length_mean,325.1063322597776
multiclass_attribution,decision_tree,num__tls_sni_digit_ratio_mean,297.36472304231967
multiclass_attribution,random_forest,cat__tls_version_TLSv13,171219.0462954276
multiclass_attribution,random_forest,num__unique_destinations_window,33585.38535648651
multiclass_attribution,random_forest,cat__tls_version_TLSv12,30054.847612083086
multiclass_attribution,random_forest,cat__tls_cipher_TLS_AES_256_GCM_SHA384,21963.288970765552
multiclass_attribution,random_forest,num__source_connections_window,20734.221696377994
multiclass_attribution,random_forest,cat__conn_state_REJ,18061.387029084097
multiclass_attribution,random_forest,cat__tls_cipher_TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,8027.383337288118
multiclass_attribution,random_forest,num__tls_sni_reuse_count_mean,7642.224466980561
multiclass_attribution,random_forest,cat__tls_curve_x25519,5005.8574571356385
multiclass_attribution,random_forest,cat__service_unknown,4525.9002368394185
multiclass_attribution,random_forest,num__bytes_per_packet,3651.2353613874566
multiclass_attribution,random_forest,num__active_span_seconds,3619.86669314942
multiclass_attribution,random_forest,num__http_request_body_fraction,2890.926098433965
multiclass_attribution,random_forest,cat__service_ssl,2776.259406327361
multiclass_attribution,random_forest,cat__conn_state_SF,2476.1123960808254
multiclass_attribution,random_forest,cat__tls_curve_secp256r1,2183.6786820874436
multiclass_attribution,random_forest,cat__tls_cipher_TLS_AES_128_GCM_SHA256,1953.4037064808047
multiclass_attribution,random_forest,num__dns_ttl_std,1913.034307107393
multiclass_attribution,random_forest,num__dns_unique_queries_window,1531.0983543461407
multiclass_attribution,random_forest,num__mean_iat,1414.5313529525233
multiclass_attribution,random_forest,cat__tls_cipher_TLS_RSA_WITH_AES_128_GCM_SHA256,1396.3480059150577
multiclass_attribution,random_forest,num__cv_iat,1369.6845437210827
multiclass_attribution,random_forest,cat__http_method_POST,1265.3959558583872
multiclass_attribution,random_forest,num__http_post_ratio,1249.645541253638
multiclass_attribution,random_forest,cat__http_method_GET,1236.8882968957537
multiclass_attribution,random_forest,num__median_iat,1226.9496698037137
multiclass_attribution,random_forest,num__http_get_ratio,1201.6146381744704
multiclass_attribution,random_forest,cat__tls_curve_unknown,1138.0712188843215
multiclass_attribution,random_forest,num__tls_sni_entropy_mean,1124.4146884678548
multiclass_attribution,random_forest,num__duration_median,1110.0473077207303
multiclass_attribution,random_forest,num__duration_mean,1101.5202020136953
multiclass_attribution,random_forest,cat__service_http,1100.222022478076
multiclass_attribution,random_forest,cat__tls_next_protocol_unknown,935.3490485226222
multiclass_attribution,random_forest,num__mad_iat,913.4544272967897
multiclass_attribution,random_forest,num__tls_established_ratio,905.2272761149532
multiclass_attribution,random_forest,"cat__service_quic,ssl",840.4911514340247
multiclass_attribution,random_forest,num__std_iat,829.708125540973
multiclass_attribution,random_forest,num__dns_span_minutes,748.2054430756049
multiclass_attribution,random_forest,num__http_request_body_len_mean,609.5977778544498
multiclass_attribution,random_forest,num__tls_sni_present_ratio,518.8620196355369
multiclass_attribution,random_forest,num__tls_resumed_ratio,516.9732456848899
multiclass_attribution,random_forest,num__http_uri_entropy_mean,497.38367504866477
multiclass_attribution,random_forest,num__dns_ttl_mean,435.52288253963206
multiclass_attribution,random_forest,cat__tls_next_protocol_h2,431.31803492941094
multiclass_attribution,random_forest,num__duration_std,420.0267984607534
multiclass_attribution,random_forest,cat__tls_curve_secp384r1,405.87037018843824
multiclass_attribution,random_forest,cat__tls_next_protocol_http/1.1,401.3050935614778
multiclass_attribution,random_forest,num__http_requests_window,348.90962180318655
multiclass_attribution,random_forest,num__tls_sni_length_mean,325.1063322597776
multiclass_attribution,random_forest,num__tls_sni_digit_ratio_mean,297.36472304231967
unseen_cobalt_strike,logistic_regression,num__unique_destinations_window,198756.1070605367
unseen_cobalt_strike,logistic_regression,num__source_connections_window,96252.42713909243
unseen_cobalt_strike,logistic_regression,cat__tls_version_TLSv13,38890.83879402946
unseen_cobalt_strike,logistic_regression,cat__tls_version_TLSv12,28111.288905538157
unseen_cobalt_strike,logistic_regression,cat__tls_curve_x25519,27147.78674666668
unseen_cobalt_strike,logistic_regression,num__tls_sni_reuse_count_mean,23209.353346159984
unseen_cobalt_strike,logistic_regression,cat__tls_cipher_TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,14464.306477508611
unseen_cobalt_strike,logistic_regression,cat__tls_cipher_TLS_AES_256_GCM_SHA384,13286.50377508423
unseen_cobalt_strike,logistic_regression,cat__tls_curve_secp256r1,13095.70398235369
unseen_cobalt_strike,logistic_regression,num__active_span_seconds,12109.55940360601
unseen_cobalt_strike,logistic_regression,num__dns_ttl_std,10865.906569233308
unseen_cobalt_strike,logistic_regression,num__bytes_per_packet,10825.584155792953
unseen_cobalt_strike,logistic_regression,num__dns_unique_queries_window,8816.720118676038
unseen_cobalt_strike,logistic_regression,cat__tls_cipher_TLS_AES_128_GCM_SHA256,6116.738206147253
unseen_cobalt_strike,logistic_regression,cat__tls_curve_unknown,6049.848135195905
unseen_cobalt_strike,logistic_regression,cat__tls_next_protocol_unknown,5414.4604801908745
unseen_cobalt_strike,logistic_regression,num__tls_established_ratio,5309.785565627734
unseen_cobalt_strike,logistic_regression,cat__service_http,5021.973662583502
unseen_cobalt_strike,logistic_regression,num__mean_iat,4675.588104312886
unseen_cobalt_strike,logistic_regression,num__tls_sni_entropy_mean,4267.623696753564
unseen_cobalt_strike,logistic_regression,num__median_iat,3947.9372095367094
unseen_cobalt_strike,logistic_regression,num__cv_iat,3394.643823534375
unseen_cobalt_strike,logistic_regression,num__tls_resumed_ratio,3127.7041731826134
unseen_cobalt_strike,logistic_regression,num__mad_iat,2824.513593397241
unseen_cobalt_strike,logistic_regression,cat__service_ssl,2732.265733593837
unseen_cobalt_strike,logistic_regression,num__std_iat,2433.9297991787184
unseen_cobalt_strike,logistic_regression,cat__tls_next_protocol_http/1.1,2400.6103050964634
unseen_cobalt_strike,logistic_regression,cat__tls_next_protocol_h2,2396.2516073810775
unseen_cobalt_strike,logistic_regression,num__dns_ttl_mean,2097.9782393924415
unseen_cobalt_strike,logistic_regression,num__dns_span_minutes,1687.9001128817551
unseen_cobalt_strike,logistic_regression,num__dns_query_length_mean,1644.9793354958888
unseen_cobalt_strike,logistic_regression,cat__tls_version_TLSv10,1633.9930927051414
unseen_cobalt_strike,logistic_regression,num__tls_sni_length_mean,1566.422780429624
unseen_cobalt_strike,logistic_regression,num__http_status_code_median,1557.3942014686334
unseen_cobalt_strike,logistic_regression,cat__conn_state_REJ,1550.644042650837
unseen_cobalt_strike,logistic_regression,cat__tls_cipher_TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,1417.7548490040936
unseen_cobalt_strike,logistic_regression,cat__tls_cipher_TLS_RSA_WITH_AES_128_CBC_SHA,1373.8799382990019
unseen_cobalt_strike,logistic_regression,num__tls_sni_digit_ratio_mean,1363.2954619952702
unseen_cobalt_strike,logistic_regression,num__http_user_agent_reuse_mean,1203.3639474150953
unseen_cobalt_strike,logistic_regression,num__burstiness,1146.7274491366213
unseen_cobalt_strike,logistic_regression,num__dns_answer_count_mean,1079.4952880346991
unseen_cobalt_strike,logistic_regression,cat__dns_qtype_A,885.1465198757222
unseen_cobalt_strike,logistic_regression,cat__dns_qtype_PTR,832.5229983804953
unseen_cobalt_strike,logistic_regression,cat__tls_cipher_TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,816.7124491755441
unseen_cobalt_strike,logistic_regression,cat__proto_udp,802.8352008254493
unseen_cobalt_strike,logistic_regression,num__dns_cv_iat,760.6003918410088
unseen_cobalt_strike,logistic_regression,num__tls_sni_present_ratio,704.1537519514757
unseen_cobalt_strike,logistic_regression,num__dns_label_count_mean,696.474467092305
unseen_cobalt_strike,logistic_regression,cat__tls_cipher_TLS_RSA_WITH_AES_256_CBC_SHA,660.4135071621351
unseen_cobalt_strike,logistic_regression,cat__conn_state_S0,657.2482864992036
unseen_cobalt_strike,decision_tree,num__unique_destinations_window,198756.1070605367
unseen_cobalt_strike,decision_tree,num__source_connections_window,96252.42713909243
unseen_cobalt_strike,decision_tree,cat__tls_version_TLSv13,38890.83879402946
unseen_cobalt_strike,decision_tree,cat__tls_version_TLSv12,28111.288905538157
unseen_cobalt_strike,decision_tree,cat__tls_curve_x25519,27147.78674666668
unseen_cobalt_strike,decision_tree,num__tls_sni_reuse_count_mean,23209.353346159984
unseen_cobalt_strike,decision_tree,cat__tls_cipher_TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,14464.306477508611
unseen_cobalt_strike,decision_tree,cat__tls_cipher_TLS_AES_256_GCM_SHA384,13286.50377508423
unseen_cobalt_strike,decision_tree,cat__tls_curve_secp256r1,13095.70398235369
unseen_cobalt_strike,decision_tree,num__active_span_seconds,12109.55940360601
unseen_cobalt_strike,decision_tree,num__dns_ttl_std,10865.906569233308
unseen_cobalt_strike,decision_tree,num__bytes_per_packet,10825.584155792953
unseen_cobalt_strike,decision_tree,num__dns_unique_queries_window,8816.720118676038
unseen_cobalt_strike,decision_tree,cat__tls_cipher_TLS_AES_128_GCM_SHA256,6116.738206147253
unseen_cobalt_strike,decision_tree,cat__tls_curve_unknown,6049.848135195905
unseen_cobalt_strike,decision_tree,cat__tls_next_protocol_unknown,5414.4604801908745
unseen_cobalt_strike,decision_tree,num__tls_established_ratio,5309.785565627734
unseen_cobalt_strike,decision_tree,cat__service_http,5021.973662583502
unseen_cobalt_strike,decision_tree,num__mean_iat,4675.588104312886
unseen_cobalt_strike,decision_tree,num__tls_sni_entropy_mean,4267.623696753564
unseen_cobalt_strike,decision_tree,num__median_iat,3947.9372095367094
unseen_cobalt_strike,decision_tree,num__cv_iat,3394.643823534375
unseen_cobalt_strike,decision_tree,num__tls_resumed_ratio,3127.7041731826134
unseen_cobalt_strike,decision_tree,num__mad_iat,2824.513593397241
unseen_cobalt_strike,decision_tree,cat__service_ssl,2732.265733593837
unseen_cobalt_strike,decision_tree,num__std_iat,2433.9297991787184
