family,dataset,src_ip,dst_ip,dst_port,proto,multiclass_label,model,prediction
benign,benign_2017-05-01_normal,10.0.2.15,104.121.150.40,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.156.187,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.156.80,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.157.111,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.157.111,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.157.135,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.159.82,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.159.82,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.159.98,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.159.98,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.192.96,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.193.67,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.194.114,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.194.114,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.195.115,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.195.204,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.196.118,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.196.189,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.196.189,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.196.201,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.196.225,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.197.29,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.198.120,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.199.236,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.200.124,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.200.133,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.200.134,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.200.136,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.200.136,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.200.223,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.201.106,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.201.225,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.202.126,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.202.126,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.202.84,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.203.236,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.203.246,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.204.161,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.204.161,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.204.163,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.204.93,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.207.116,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.211.161,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.225.199,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.225.199,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.225.99,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.226.225,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.226.71,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.226.71,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.227.193,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.227.96,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.228.59,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.229.156,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.229.17,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.230.148,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.230.148,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.230.211,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.230.211,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.231.217,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.231.217,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.231.24,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.233.15,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.233.15,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.233.167,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.234.137,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.123.236.198,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.127.48.239,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.127.48.56,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.127.48.67,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.127.48.67,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.127.49.14,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.127.49.141,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.127.49.69,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.127.49.69,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.127.50.125,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.127.50.238,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.127.50.238,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.127.51.201,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.127.51.231,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.127.51.246,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.127.52.244,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.127.53.25,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.127.54.77,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.127.55.237,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.127.55.54,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.127.60.107,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.127.60.107,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.127.62.9,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.127.63.135,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.127.63.186,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.127.63.204,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.127.63.204,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.152.141.69,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.154.79.29,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.155.121.124,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.16.117.145,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.16.120.145,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.16.121.127,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.16.126.228,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.16.126.228,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.16.127.228,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.16.127.228,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.16.17.35,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.16.17.35,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.16.18.35,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.16.18.35,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.16.19.35,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.16.21.35,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.16.23.235,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.16.23.235,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.16.23.35,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.16.24.235,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.16.24.235,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.16.24.35,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.16.24.35,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.16.247.35,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.16.25.235,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.16.26.216,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.16.26.235,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.16.26.235,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.16.27.216,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.16.27.235,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.16.27.235,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.16.39.14,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.16.4.13,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.16.5.13,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.16.5.13,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.16.54.16,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.16.55.244,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.16.60.7,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.16.61.7,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.16.65.157,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.16.65.157,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.16.68.157,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.16.68.157,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.16.78.166,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.16.83.55,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.16.84.55,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.16.87.26,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.16.87.26,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.16.89.50,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.18.36.50,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.18.36.50,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.19.193.102,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.19.194.102,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.197.198.187,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.199.106.146,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.199.107.210,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.199.82.59,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.199.82.59,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.199.9.96,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.20.150.16,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.20.151.16,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.20.18.160,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.20.183.9,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.20.2.47,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.20.21.239,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.20.21.239,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.20.22.28,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.20.30.2,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.20.30.2,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.20.31.2,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.20.50.244,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.20.53.8,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.244.42.1,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.244.42.129,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.244.42.193,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.244.42.2,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.244.42.204,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.244.42.65,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.244.43.112,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.244.43.144,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.244.43.144,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.244.43.16,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.244.43.16,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.244.43.17,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.244.43.176,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.244.43.227,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.244.43.48,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.244.43.51,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.244.43.80,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.244.46.103,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.25.138.118,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.25.162.34,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,104.28.30.87,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,106.11.129.144,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,106.11.93.16,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,106.39.162.36,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,106.39.169.66,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,106.39.169.66,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,106.39.57.192,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,107.154.103.27,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,107.154.103.27,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,107.154.114.27,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,107.154.114.27,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,107.155.17.59,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,107.178.242.85,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,107.178.244.119,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,107.178.244.119,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,107.178.254.65,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,107.20.183.39,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,107.20.187.124,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,107.20.191.152,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,107.20.207.227,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,107.20.238.210,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,107.20.240.208,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,107.21.112.119,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,107.21.205.177,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,107.21.211.226,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,107.21.225.14,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,107.21.246.115,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,107.21.249.135,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,107.21.249.135,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,107.21.249.217,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,107.22.189.101,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,107.22.190.137,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,107.22.197.50,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,107.22.236.230,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,107.22.243.74,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,107.23.147.203,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,107.23.5.109,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,108.161.187.250,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,108.161.187.71,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,108.161.188.192,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,108.161.188.192,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,108.167.135.50,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,108.167.135.50,443,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,109.199.109.5,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,109.203.101.62,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,111.202.102.35,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,111.202.102.36,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,111.202.102.40,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,111.202.29.199,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,112.90.147.194,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,115.239.210.141,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,116.253.191.153,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,117.121.41.18,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,117.27.230.185,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,117.27.230.186,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,118.191.216.42,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,119.146.74.34,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,119.146.74.48,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,120.92.16.188,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,122.225.219.90,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,123.103.58.18,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,123.103.58.202,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,123.103.58.203,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,123.103.58.205,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,123.103.58.215,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,123.103.58.217,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,123.103.58.225,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,123.103.93.215,80,tcp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,123.103.93.216,80,tcp,benign,logistic_regression,benign
