#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	ssl
#open	2026-09-23-18-29-19
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	version	cipher	curve	server_name	resumed	last_alert	next_protocol	established	ssl_history	cert_chain_fps	client_cert_chain_fps	sni_matches_cert
#types	time	string	addr	port	addr	port	string	string	string	string	bool	string	string	bool	string	vector[string]	vector[string]	bool
1673545957.588923	CfziWLMPFxdVKnWhd	172.18.127.129	55915	142.251.32.202	443	TLSv13	TLS_AES_128_GCM_SHA256	x25519	firebasestorage.googleapis.com	F	-	-	T	CsiI	-	-	-
1673546206.320060	CQkkwrjuX7K9nzMOa	172.18.127.129	55952	52.254.114.71	443	TLSv12	TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384	secp384r1	fe2cr.update.microsoft.com	F	-	h2	T	CsxknGIi	4ccba96ce8e87627c4060a7bd471efe1189d40ed55454511b6e354e9f247e845,21158ad4dce10197239a87ebeb4d8d47e9e9be716ad497a2e036774caf5072cf	(empty)	T
1673546208.246353	Cg4DhA17yZRTXiiUZ2	172.18.127.129	55953	40.77.2.164	443	TLSv12	TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384	secp384r1	fe3cr.delivery.mp.microsoft.com	F	-	h2	T	CsxknGIi	177dca1e39ff335fd9bce51f65c4561bd2f36be51f2947c1412e21996a9b6021,21158ad4dce10197239a87ebeb4d8d47e9e9be716ad497a2e036774caf5072cf	(empty)	T
1673546210.041519	Cq713L223OWilRXgp	172.18.127.129	55954	20.44.10.122	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	secp384r1	v10.events.data.microsoft.com	F	-	-	T	CsxknGIi	643856ed9d2fce5408ca7ba627126996f20ceb0827f6ebd4fe7d80cea7a6a2c5,83688f2aef71386e0936c4b3013b07e8e0c796d8427716dd48b2a63d79509129	(empty)	T
1673546299.550411	C2PBx04CQHPxVY7bNf	172.18.127.129	55955	52.109.4.32	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	secp384r1	officeclient.microsoft.com	F	-	h2	T	CsxuknGIi	361cb3a693489b4a12814e0a1c9bd73c375ef4728326abcadf6dddaf597c1b78,04eeea8e50b4775b3c24797262917ee50002ec4c75b56cdf3ee1c18cfca5ba52	(empty)	T
1673546300.653774	CsmaPA4hJ3A7C0KKj5	172.18.127.129	55956	40.126.29.9	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	secp384r1	login.live.com	F	-	-	T	CsxuknGIi	061eb1da23fc43ee36bc1563b1bd90d214375a23013f946a97e2bf62fc4adc03,c1ad7778796d20bca65c889a2655021156528bb62ff5fa43e1b8e5a83e3d2eaa	(empty)	T
1673546301.134182	CePmlQ3bW3KEbrGIj	172.18.127.129	55957	52.137.108.250	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	x25519	licensing.mp.microsoft.com	F	-	h2	T	CsxknGIti	136a9dd2941a9c33844b75b41c3329d27b8cc664a871b25edaa709cd59677150,24c7299864e0a2a6964f551c0e8df2461532fa8c48e4dbbb6080716691f190e5	(empty)	T
1673546308.021638	CsaCr83thN9iWvy6jg	172.18.127.129	55958	104.115.117.94	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	secp256r1	storecatalogrevocation.storequality.microsoft.com	F	-	http/1.1	T	CsxuknGIti	8907076bf63a429b5d47cfeb90f2ec263baee346f82fea2e049f3955a2a1cc90,15a98761ebe011554da3a46d206b0812cb2eb69ae87aaa11a6dd4cb84ed5142a	(empty)	T
1673546412.571014	CCAByb4IbZpFPDrJe	172.18.127.129	55959	94.140.115.3	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	x25519	lezhidov.cloud	F	-	-	T	CsxknGIti	e5415cf6b6c790291181dd797b068035e4083c1e14b59730d2c1c6fe46cc9c48	(empty)	F
1673546421.020502	CuKcYy26f89Zw6S3ua	172.18.127.129	55960	104.208.16.88	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	secp384r1	v10.events.data.microsoft.com	F	-	-	T	CsxknGIi	643856ed9d2fce5408ca7ba627126996f20ceb0827f6ebd4fe7d80cea7a6a2c5,83688f2aef71386e0936c4b3013b07e8e0c796d8427716dd48b2a63d79509129	(empty)	T
1673546553.500579	CvoOKO16vYW0qhlBLk	172.18.127.129	55966	52.113.194.132	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	secp384r1	ecs.office.com	F	-	-	T	CsxuknGIti	7f7da404f43d4f9c946a7722e7534d6462d058683cfa2bc693192ab258a7e8df,48ff8b494668c752304b48bfe818758987def6582e5f09b921f4b60bb3d6a8dd	(empty)	T
1673546706.925468	CkwVLB32ytlSbCgHag	172.18.127.129	55968	20.189.173.10	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	secp384r1	v10.events.data.microsoft.com	F	-	-	T	CsxknGIi	643856ed9d2fce5408ca7ba627126996f20ceb0827f6ebd4fe7d80cea7a6a2c5,83688f2aef71386e0936c4b3013b07e8e0c796d8427716dd48b2a63d79509129	(empty)	T
1673546715.089079	CXl5Xp4rjdvLrxA6Ji	172.18.127.129	55969	5.230.74.203	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	x25519	qzmeat.cyou	F	-	-	T	CsxknGIti	940a86721ed42338793b72fb41e382ea96282cc5f4e889c99495c1dc65e107b3	(empty)	F
1673546868.308998	CjMuQu2VerBbID2Z69	172.18.127.129	55970	51.11.192.50	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	secp384r1	v10.events.data.microsoft.com	F	-	-	T	CsxknGIi	643856ed9d2fce5408ca7ba627126996f20ceb0827f6ebd4fe7d80cea7a6a2c5,83688f2aef71386e0936c4b3013b07e8e0c796d8427716dd48b2a63d79509129	(empty)	T
1673547017.148693	CAeJTRUvhRBDfck71	172.18.127.129	55971	5.230.74.203	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	x25519	qzmeat.cyou	F	-	-	T	CsxknGIti	940a86721ed42338793b72fb41e382ea96282cc5f4e889c99495c1dc65e107b3	(empty)	F
1673547319.035479	Cqj2DT34Zoi1PMxMAb	172.18.127.129	55972	5.230.74.203	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	x25519	qzmeat.cyou	F	-	-	T	CsxknGIti	940a86721ed42338793b72fb41e382ea96282cc5f4e889c99495c1dc65e107b3	(empty)	F
1673547621.028554	CAH7MDMvSBuYCSXW6	172.18.127.129	55974	5.230.74.203	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	x25519	qzmeat.cyou	F	-	-	T	CsxknGIti	940a86721ed42338793b72fb41e382ea96282cc5f4e889c99495c1dc65e107b3	(empty)	F
1673547922.982779	CNfpeQ2R6BVk1JAzgi	172.18.127.129	55979	5.230.74.203	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	x25519	qzmeat.cyou	F	-	-	T	CsxknGIti	940a86721ed42338793b72fb41e382ea96282cc5f4e889c99495c1dc65e107b3	(empty)	F
1673548224.920842	CzCmBw4uQkAqqtUsKe	172.18.127.129	55980	5.230.74.203	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	x25519	qzmeat.cyou	F	-	-	T	CsxknGIti	940a86721ed42338793b72fb41e382ea96282cc5f4e889c99495c1dc65e107b3	(empty)	F
1673548299.521956	CVuPjy4Rtl73Rgb2U4	172.18.127.129	55981	13.89.179.8	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	secp384r1	v10.events.data.microsoft.com	F	-	-	T	CsxknGIi	643856ed9d2fce5408ca7ba627126996f20ceb0827f6ebd4fe7d80cea7a6a2c5,83688f2aef71386e0936c4b3013b07e8e0c796d8427716dd48b2a63d79509129	(empty)	T
1673548526.998353	Ctpttn2MW3cWVlVMI7	172.18.127.129	55983	5.230.74.203	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	x25519	qzmeat.cyou	F	-	-	T	CsxknGIti	940a86721ed42338793b72fb41e382ea96282cc5f4e889c99495c1dc65e107b3	(empty)	F
1673548829.052892	CPLdJ72CC5NfCra05g	172.18.127.129	55984	5.230.74.203	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	x25519	qzmeat.cyou	F	-	-	T	CsxknGIti	940a86721ed42338793b72fb41e382ea96282cc5f4e889c99495c1dc65e107b3	(empty)	F
1673549133.711223	C2t3dVVnaBGC9FJwk	172.18.127.129	55985	5.230.74.203	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	x25519	qzmeat.cyou	F	-	-	T	CsxknGIti	940a86721ed42338793b72fb41e382ea96282cc5f4e889c99495c1dc65e107b3	(empty)	F
1673549197.817881	C0Tpd43y2DoqW9xjXh	172.18.127.129	55986	40.126.28.18	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	secp384r1	login.live.com	F	-	-	T	CsxuknGIi	e0d8486c4f2580b21e6156fa21ba2490d5b5b0e11eee1e118efa6a0e012c003e,c1ad7778796d20bca65c889a2655021156528bb62ff5fa43e1b8e5a83e3d2eaa	(empty)	T
1673549198.363618	CVfNcr3aUKYU1BZLJl	172.18.127.129	55987	52.154.48.127	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	secp256r1	clients.config.office.net	F	-	h2	T	CsxknGIti	415c0584a9c9bc85f40ebafb31d4bd422294d4380bceb7b0de8c42e83012c335,cb3ccbb76031e5e0138f8dd39a23f9de47ffc35e43c1144cea27d46a5ab1cb5f,15a98761ebe011554da3a46d206b0812cb2eb69ae87aaa11a6dd4cb84ed5142a	(empty)	T
1673549405.435106	CSH3RBcpntvkCrBF1	172.18.127.129	55990	40.74.108.123	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	secp384r1	settings-win.data.microsoft.com	F	-	h2	T	CsxknGIi	8f4cb83bf5f736d3f9a1119216ec469ed2270a9c6972f846424ce295d1c8c768,83688f2aef71386e0936c4b3013b07e8e0c796d8427716dd48b2a63d79509129	(empty)	T
1673549438.137878	CdVCfJ3yo0zkvONYgf	172.18.127.129	55991	5.230.74.203	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	x25519	qzmeat.cyou	F	-	-	T	CsxknGIti	940a86721ed42338793b72fb41e382ea96282cc5f4e889c99495c1dc65e107b3	(empty)	F
1673549557.573707	Ctda4E3DWICpC109Tj	172.18.127.129	55994	13.107.3.254	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	s-ring.msedge.net	T	-	h2	T	CsiI	-	-	-
1673549740.368990	CdVWAKBXE5l3USGG2	172.18.127.129	55995	5.230.74.203	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	x25519	qzmeat.cyou	F	-	-	T	CsxknGIti	940a86721ed42338793b72fb41e382ea96282cc5f4e889c99495c1dc65e107b3	(empty)	F
1673550045.338622	CfioBG2XwDuUld3bK9	172.18.127.129	55996	5.230.74.203	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	x25519	qzmeat.cyou	F	-	-	T	CsxknGIti	940a86721ed42338793b72fb41e382ea96282cc5f4e889c99495c1dc65e107b3	(empty)	F
1673550095.627238	CCluZF2SCfd4weQVL4	172.18.127.129	55997	13.107.5.88	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	secp384r1	evoke-windowsservices-tas.msedge.net	F	-	h2	T	CsxknGIti	db71576a54a871dbf067bba2635c79bc992a9cdd8c3a107aa9e59dac3ddf1b29,d6831ba43607f5ac19778d627531562af55145f191cab5efafa0e0005442b302	(empty)	T
1673550102.394480	CRlnct3rYoYdDMjGcl	172.18.127.129	55998	52.182.143.211	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	secp384r1	v10.events.data.microsoft.com	F	-	-	T	CsxknGIi	643856ed9d2fce5408ca7ba627126996f20ceb0827f6ebd4fe7d80cea7a6a2c5,83688f2aef71386e0936c4b3013b07e8e0c796d8427716dd48b2a63d79509129	(empty)	T
1673550351.897851	Cncc7GOiXPhdy50Aa	172.18.127.129	56000	5.230.74.203	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	x25519	qzmeat.cyou	F	-	-	T	CsxknGIti	940a86721ed42338793b72fb41e382ea96282cc5f4e889c99495c1dc65e107b3	(empty)	F
1673550357.721936	CWJLlj4KuxMppf7zzg	172.18.127.129	56002	185.173.34.36	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	x25519	fepopeguc.com	F	-	-	T	CsxknGIti	31293f8241e530deaf59d492abd4c424e33150234d62d7798bf93a0eeb96136b	(empty)	T
1673550363.863434	C8wmDw1f7q6T6sWf3	172.18.127.129	56004	185.173.34.36	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	fepopeguc.com	T	-	-	T	CstiI	-	-	-
1673550370.109121	C7h0Cj4nbUnRzyMO95	172.18.127.129	56005	185.173.34.36	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	fepopeguc.com	T	-	-	T	CstiI	-	-	-
1673550377.687085	CojPss1g5BpqgyFxk4	172.18.127.129	56006	185.173.34.36	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	fepopeguc.com	T	-	-	T	CstiI	-	-	-
1673550384.137981	CGjiIV28qX02PAfCH9	172.18.127.129	56007	185.173.34.36	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	fepopeguc.com	T	-	-	T	CstiI	-	-	-
1673550389.872435	Cch6hr4glsRJnsSEzj	172.18.127.129	56008	185.173.34.36	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	fepopeguc.com	T	-	-	T	CstiI	-	-	-
1673550395.504900	C0UguY1Haecv3jANq5	172.18.127.129	56009	185.173.34.36	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	fepopeguc.com	T	-	-	T	CstiI	-	-	-
1673550401.751330	CUSDqI3p5Vpyeya1og	172.18.127.129	56010	185.173.34.36	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	fepopeguc.com	T	-	-	T	CstiI	-	-	-
1673550407.892288	CCN6MB2Wd2l5XnNh4b	172.18.127.129	56011	185.173.34.36	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	fepopeguc.com	T	-	-	T	CstiI	-	-	-
1673550414.632297	ClFlzV2t8HxogKC5Nf	172.18.127.129	56012	185.173.34.36	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	fepopeguc.com	T	-	-	T	CstiI	-	-	-
1673550420.906545	C1oBsZ2UUoVjQjuXX5	172.18.127.129	56013	185.173.34.36	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	fepopeguc.com	T	-	-	T	CstiI	-	-	-
1673550426.838660	CVWIok4a5PWL17qQYj	172.18.127.129	56014	185.173.34.36	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	fepopeguc.com	T	-	-	T	CstiI	-	-	-
1673550433.373349	CDQi313dVNDbFp2Kl	172.18.127.129	56015	185.173.34.36	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	fepopeguc.com	T	-	-	T	CstiI	-	-	-
1673550441.174603	C4DfnR1jSkACE7nt66	172.18.127.129	56016	185.173.34.36	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	fepopeguc.com	T	-	-	T	CstiI	-	-	-
1673550446.264372	CTv7XD17cdIToVFNdg	172.18.127.129	56017	185.173.34.36	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	fepopeguc.com	T	-	-	T	CstiI	-	-	-
1673550453.974582	Cg9rXR3UG6QB9lz7p4	172.18.127.129	56018	185.173.34.36	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	fepopeguc.com	T	-	-	T	CstiI	-	-	-
1673550460.630726	CuQDnY2M2IQYg0acW	172.18.127.129	56019	185.173.34.36	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	fepopeguc.com	T	-	-	T	CstiI	-	-	-
1673550467.491222	C1dyDdBpO0nMfUija	172.18.127.129	56020	185.173.34.36	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	fepopeguc.com	T	-	-	T	CstiI	-	-	-
1673550473.738094	C7siYa2vN3VyIpmB49	172.18.127.129	56021	185.173.34.36	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	fepopeguc.com	T	-	-	T	CstiI	-	-	-
1673550481.315577	CSpbq4KP9IRdrXG26	172.18.127.129	56022	185.173.34.36	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	fepopeguc.com	T	-	-	T	CstiI	-	-	-
1673550489.305008	CXDmIJ3SLEgmz1fBR6	172.18.127.129	56023	185.173.34.36	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	fepopeguc.com	T	-	-	T	CstiI	-	-	-
1673550495.241562	CXFIra16H6BwcDTl79	172.18.127.129	56024	185.173.34.36	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	fepopeguc.com	T	-	-	T	CstiI	-	-	-
1673550501.590545	CSTtVU3EwZcctrBhld	172.18.127.129	56025	185.173.34.36	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	fepopeguc.com	T	-	-	T	CstiI	-	-	-
1673550505.927812	Cb4tlz4S8YQM55T1cl	172.18.127.129	56026	185.173.34.36	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	fepopeguc.com	T	-	-	T	CstiI	-	-	-
1673550511.523398	CHXvNA2NiFSmQgoQE9	172.18.127.129	56027	185.173.34.36	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	fepopeguc.com	T	-	-	T	CstiI	-	-	-
1673550516.131747	C5KpHS1ytMY0TCFNZk	172.18.127.129	56028	185.173.34.36	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	fepopeguc.com	T	-	-	T	CstiI	-	-	-
1673550523.395645	CvCkOp18g0OT3SQeYi	172.18.127.129	56029	185.173.34.36	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	fepopeguc.com	T	-	-	T	CstiI	-	-	-
1673550528.625016	CfDEkeTfxfFBWRmjg	172.18.127.129	56030	185.173.34.36	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	fepopeguc.com	T	-	-	T	CstiI	-	-	-
1673550535.382446	CIIfz3lCifeLrO642	172.18.127.129	56031	185.173.34.36	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	fepopeguc.com	T	-	-	T	CstiI	-	-	-
1673550540.402646	CGt0MXFYqMonX7Lec	172.18.127.129	56032	185.173.34.36	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	fepopeguc.com	T	-	-	T	CstiI	-	-	-
1673550546.748644	CsRQt14Dn3eyBfkfd	172.18.127.129	56033	185.173.34.36	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	fepopeguc.com	T	-	-	T	CstiI	-	-	-
1673550553.217076	CzDxmy6R4yxUOznYh	172.18.127.129	56034	185.173.34.36	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	fepopeguc.com	T	-	-	T	CstiI	-	-	-
1673550559.344884	CGTKtmEOOd4rdW3Q9	172.18.127.129	56035	185.173.34.36	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	fepopeguc.com	T	-	-	T	CstiI	-	-	-
1673550565.794981	CIwUGj4BMxNYl8oWZ2	172.18.127.129	56036	185.173.34.36	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	fepopeguc.com	T	-	-	T	CstiI	-	-	-
1673550567.741190	CNJcp71cTfknrvW4Gj	172.18.127.129	56037	185.173.34.36	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	fepopeguc.com	T	-	-	T	CstiI	-	-	-
1673550577.980522	CQlwDw4ShnLee9O4Tg	172.18.127.129	56038	185.173.34.36	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	fepopeguc.com	T	-	-	T	CstiI	-	-	-
1673550584.739536	CXApKW2k9jkxgKm17e	172.18.127.129	56039	185.173.34.36	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	fepopeguc.com	T	-	-	T	CstiI	-	-	-
1673550592.717774	CByZUqViwl5azILsh	172.18.127.129	56040	185.173.34.36	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	fepopeguc.com	T	-	-	T	CstiI	-	-	-
1673550598.667255	CqTM2K2x1NxhmPRMn2	172.18.127.129	56042	185.173.34.36	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	fepopeguc.com	T	-	-	T	CstiI	-	-	-
1673550605.935604	CrtwW6247lTJw5Ppsf	172.18.127.129	56043	185.173.34.36	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	fepopeguc.com	T	-	-	T	CstiI	-	-	-
1673550611.465253	CluIBC1db11dKklxz6	172.18.127.129	56044	185.173.34.36	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	fepopeguc.com	T	-	-	T	CstiI	-	-	-
1673550625.905188	CYtIeG38GsSpA8lIL8	172.18.127.129	56045	185.173.34.36	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	fepopeguc.com	T	-	-	T	CstiI	-	-	-
