#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	ssl
#open	2026-09-23-18-29-29
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	version	cipher	curve	server_name	resumed	last_alert	next_protocol	established	ssl_history	cert_chain_fps	client_cert_chain_fps	sni_matches_cert
#types	time	string	addr	port	addr	port	string	string	string	string	bool	string	string	bool	string	vector[string]	vector[string]	bool
1696344948.490452	ClDj7s2dXrsZN62R71	10.1.2.147	49328	23.222.241.141	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	secp256r1	www.bing.com	F	-	h2	T	CsxknGIti	80a5435f1698438a7d697f67fc00c3c86d13b0ac230853d7ef05be890da297e0,04eeea8e50b4775b3c24797262917ee50002ec4c75b56cdf3ee1c18cfca5ba52	(empty)	T
1696346559.412120	CKaWLF2XFNFKSc8Yqb	10.1.2.147	49346	79.141.175.96	2078	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	x25519	-	F	-	-	T	CsxknGIti	952279a87ece3a66f6dc20cff01c9a992701d8f2fde21b0205fbeb3bff5d2f73	(empty)	-
1696346709.525447	CYByMa4WWiouMdcm26	10.1.2.147	49347	38.242.240.28	1194	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	x25519	-	F	-	-	T	CsxknGIti	ce28f5c68bc585e70a70230dbf30127593a9d012aa28e87ad233bf2f2a3ae405	(empty)	-
1696346750.365589	CRczsOeADso1bzPN3	10.1.2.147	49348	104.46.162.226	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	secp384r1	v10.events.data.microsoft.com	F	-	h2	T	CsxknGIi	ff1e7eea14833d39c83ab0e128d3e9027cd9832b5a41483e1c309f1436b7e451,83688f2aef71386e0936c4b3013b07e8e0c796d8427716dd48b2a63d79509129	(empty)	T
1696346859.139259	CpmuP83Q1veQJjQEY6	10.1.2.147	49349	209.126.9.47	2078	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	x25519	-	F	-	-	T	CsxknGIti	dbd613dcfee051ae8de0083a8824d0d785e750ac89d7507a1e994b42aae45ead	(empty)	-
1696346862.605824	CHIE3m1Rh1PFvYOUs	10.1.2.147	49350	209.126.9.47	2078	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	-	T	-	-	T	CsiI	-	-	-
1696347182.427876	C16szEt0B0OWuqo0d	10.1.2.147	49357	167.86.96.3	2222	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	x25519	-	F	-	-	T	CsxknGIti	881fb03efb27671a0d2e22ccd7b7e10cc1b6c3fa5bad3b8bbb165d2e4314ed3d	(empty)	-
1696347332.076222	CNYA6Y2MPgbidLkio1	10.1.2.147	49358	79.141.175.96	2078	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	x25519	-	F	-	-	T	CsxknGIti	952279a87ece3a66f6dc20cff01c9a992701d8f2fde21b0205fbeb3bff5d2f73	(empty)	-
1696347481.851982	Ck6rPF4toRELtIumE3	10.1.2.147	49359	38.242.240.28	1194	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	x25519	-	F	-	-	T	CsxknGIti	ce28f5c68bc585e70a70230dbf30127593a9d012aa28e87ad233bf2f2a3ae405	(empty)	-
1696347631.346986	Cm1bGr4m56hwZ5EIp1	10.1.2.147	49360	209.126.9.47	2078	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	x25519	-	F	-	-	T	CsxknGIti	dbd613dcfee051ae8de0083a8824d0d785e750ac89d7507a1e994b42aae45ead	(empty)	-
1696347951.471960	CFXDR12ypHtyOArKh7	10.1.2.147	49363	167.86.96.3	2222	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	x25519	-	F	-	-	T	CsxknGIti	881fb03efb27671a0d2e22ccd7b7e10cc1b6c3fa5bad3b8bbb165d2e4314ed3d	(empty)	-
1696348050.462253	CYC4Eoyb97wZqUNol	10.1.2.147	49364	52.111.229.48	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	secp384r1	nexusrules.officeapps.live.com	F	-	h2	T	CsxuknGIi	9eb1c33cc062455a0ee2acde0b537b5d0bef574df7243c5952fe789966c10636,48ff8b494668c752304b48bfe818758987def6582e5f09b921f4b60bb3d6a8dd	(empty)	T
1696348101.050007	CXe6sX26BszB4QgPNb	10.1.2.147	49365	79.141.175.96	2078	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	x25519	-	F	-	-	T	CsxknGIti	952279a87ece3a66f6dc20cff01c9a992701d8f2fde21b0205fbeb3bff5d2f73	(empty)	-
1696348251.173016	CE4XWn4AVJZEWyIy3g	10.1.2.147	49366	38.242.240.28	1194	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	x25519	-	F	-	-	T	CsxknGIti	ce28f5c68bc585e70a70230dbf30127593a9d012aa28e87ad233bf2f2a3ae405	(empty)	-
1696348252.834954	Cr6w3o23dD2Vtqa97	10.1.2.147	49367	38.242.240.28	1194	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	-	T	-	-	T	CsiI	-	-	-
1696348258.334599	CcU9Sh4RiPHlRCvx9g	10.1.2.147	49368	38.242.240.28	1194	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	-	T	-	-	T	CsiI	-	-	-
1696348407.668842	CGYpeb26o2xy3SRnr7	10.1.2.147	49369	209.126.9.47	2078	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	x25519	-	F	-	-	T	CsxknGIti	dbd613dcfee051ae8de0083a8824d0d785e750ac89d7507a1e994b42aae45ead	(empty)	-
1696348550.218394	Cf46aLXvYlRX7CYE8	10.1.2.147	49370	51.132.193.104	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	secp384r1	v10.events.data.microsoft.com	F	-	h2	T	CsxknGIi	ff1e7eea14833d39c83ab0e128d3e9027cd9832b5a41483e1c309f1436b7e451,83688f2aef71386e0936c4b3013b07e8e0c796d8427716dd48b2a63d79509129	(empty)	T
1696348727.779581	Cdi9jh2yWy0XrPOGZ6	10.1.2.147	49373	167.86.96.3	2222	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	x25519	-	F	-	-	T	CsxknGIti	881fb03efb27671a0d2e22ccd7b7e10cc1b6c3fa5bad3b8bbb165d2e4314ed3d	(empty)	-
1696348736.814713	CCKYkI3MLfJPMifPM1	10.1.2.147	49375	52.137.106.217	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	secp384r1	settings-win.data.microsoft.com	F	-	h2	T	CsxknGIi	5a0238e0fce1cd8f03b1e0f3f41f6d31a87d126f2ababd69b3710174ec874e0e,83688f2aef71386e0936c4b3013b07e8e0c796d8427716dd48b2a63d79509129	(empty)	T
1696348876.907764	C6mFGF3IzHKYiFemm4	10.1.2.147	49376	79.141.175.96	2078	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	x25519	-	F	-	-	T	CsxknGIti	952279a87ece3a66f6dc20cff01c9a992701d8f2fde21b0205fbeb3bff5d2f73	(empty)	-
1696348917.226396	CTV4zw4ZifodPzaU03	10.1.2.147	49377	20.7.1.246	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	secp384r1	client.wns.windows.com	F	-	-	T	CsxknGIi	cf2dadd49e8c0f52e507400c0ba1c7eaf74cb9895b2974057c1e271744749ab5,24c7299864e0a2a6964f551c0e8df2461532fa8c48e4dbbb6080716691f190e5	(empty)	T
1696349026.731844	CQvf7C1fj27XWbNy1g	10.1.2.147	49378	38.242.240.28	1194	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	x25519	-	F	-	-	T	CsxknGIti	ce28f5c68bc585e70a70230dbf30127593a9d012aa28e87ad233bf2f2a3ae405	(empty)	-
1696349176.353720	CyULEqA0z6aGqKbGb	10.1.2.147	49379	209.126.9.47	2078	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	x25519	-	F	-	-	T	CsxknGIti	dbd613dcfee051ae8de0083a8824d0d785e750ac89d7507a1e994b42aae45ead	(empty)	-
1696349496.805543	CCMObo2KnOUQVUOqA6	10.1.2.147	49385	167.86.96.3	2222	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	x25519	-	F	-	-	T	CsxknGIti	881fb03efb27671a0d2e22ccd7b7e10cc1b6c3fa5bad3b8bbb165d2e4314ed3d	(empty)	-
1696349498.492361	CvH9jx2YqeFR37vfI1	10.1.2.147	49386	167.86.96.3	2222	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	-	T	-	-	T	CsiI	-	-	-
1696349499.862053	CbZsVF2SYhBA5UrG45	10.1.2.147	49387	167.86.96.3	2222	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	-	T	-	-	T	CsiI	-	-	-
1696349499.797450	ChOZCl3doYCa2VoSwg	10.1.2.147	49388	179.60.149.244	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	x25519	-	F	-	-	T	CsxknGIti	58def00f21ce4c5ba0cb029de4b4fa0d6e273fe4f3f7ea216e09d3bddb62bfce,67add1166b020ae61b8f5fc96813c04c2aa589960796865572a3c7e737613dfd,6d99fb265eb1c5b3744765fcbc648f3cd8e1bffafdc4c2f99b9d47cf7ff1c24f	(empty)	-
1696349500.788449	C40bry3617PTOotjQ3	10.1.2.147	49389	179.60.149.244	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	x25519	zzerxc.com	F	-	-	T	CsxknGIti	58def00f21ce4c5ba0cb029de4b4fa0d6e273fe4f3f7ea216e09d3bddb62bfce,67add1166b020ae61b8f5fc96813c04c2aa589960796865572a3c7e737613dfd,6d99fb265eb1c5b3744765fcbc648f3cd8e1bffafdc4c2f99b9d47cf7ff1c24f	(empty)	T
1696349506.014015	C7iQQD2JPdTH1341Pa	10.1.2.147	49390	179.60.149.244	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	zzerxc.com	T	-	-	T	CstiI	-	-	-
1696349509.954890	CEv2k83kbBHIlcFbB6	10.1.2.147	49391	179.60.149.244	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	zzerxc.com	T	-	-	T	CstiI	-	-	-
1696349515.138758	CdHP5Y3qJ4yuslMw4g	10.1.2.147	49392	179.60.149.244	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	zzerxc.com	T	-	-	T	CstiI	-	-	-
1696349520.257607	CzOcFK16yptOJ4HjI7	10.1.2.147	49393	179.60.149.244	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	zzerxc.com	T	-	-	T	CstiI	-	-	-
1696349524.038613	CXTMtogF27iaMvBxh	10.1.2.147	49394	179.60.149.244	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	zzerxc.com	T	-	-	T	CstiI	-	-	-
1696349527.661456	CEXVqo48q9frF6xIH6	10.1.2.147	49395	179.60.149.244	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	zzerxc.com	T	-	-	T	CstiI	-	-	-
1696349532.986366	CnLCUt3dBWpS9SwJWd	10.1.2.147	49396	179.60.149.244	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	zzerxc.com	T	-	-	T	CstiI	-	-	-
1696349533.302163	CXeHx74f8CXwDvNuLb	10.1.2.147	49397	179.60.149.244	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	zzerxc.com	T	-	-	T	CstiI	-	-	-
1696349536.895202	Cmzx878MZwKQhPw1b	10.1.2.147	49398	179.60.149.244	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	zzerxc.com	T	-	-	T	CstiI	-	-	-
1696349537.251428	C6HL662AEqzXehjkmh	10.1.2.147	49399	179.60.149.244	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	zzerxc.com	T	-	-	T	CstiI	-	-	-
1696349540.802116	C0MMlK3JWiUJGHotSj	10.1.2.147	49400	179.60.149.244	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	zzerxc.com	T	-	-	T	CstiI	-	-	-
1696349545.372231	CLKi4I2ms7wJgIJft4	10.1.2.147	49401	179.60.149.244	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	zzerxc.com	T	-	-	T	CstiI	-	-	-
1696349550.141950	CNTsny4pMBAAm8FULc	10.1.2.147	49402	179.60.149.244	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	zzerxc.com	T	-	-	T	CstiI	-	-	-
1696349554.082891	CkhMV62BeYDOPBRRS5	10.1.2.147	49403	179.60.149.244	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	zzerxc.com	T	-	-	T	CstiI	-	-	-
1696349555.482841	CjtFuC4T6xJO1MRQt6	10.1.2.147	49404	179.60.149.244	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	x25519	zzerxc.com	F	-	-	T	CsxknGIti	58def00f21ce4c5ba0cb029de4b4fa0d6e273fe4f3f7ea216e09d3bddb62bfce,67add1166b020ae61b8f5fc96813c04c2aa589960796865572a3c7e737613dfd,6d99fb265eb1c5b3744765fcbc648f3cd8e1bffafdc4c2f99b9d47cf7ff1c24f	(empty)	T
1696349558.465731	Ct75j64T9oQC5wJYWg	10.1.2.147	49405	179.60.149.244	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	zzerxc.com	T	-	-	T	CstiI	-	-	-
1696349559.666972	Cwjzk03EzGH7HZWeHi	10.1.2.147	49406	179.60.149.244	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	zzerxc.com	T	-	-	T	CstiI	-	-	-
1696349563.530809	CUDxYQ2Qm0rQQI7X1g	10.1.2.147	49407	179.60.149.244	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	zzerxc.com	T	-	-	T	CstiI	-	-	-
1696349563.683696	CfLw383aT0FuZBzal6	10.1.2.147	49408	179.60.149.244	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	zzerxc.com	T	-	-	T	CstiI	-	-	-
1696349568.090729	Ce0j3t2RnUPBgQsqGd	10.1.2.147	49409	179.60.149.244	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	zzerxc.com	T	-	-	T	CstiI	-	-	-
1696349568.535420	CW48N91qN6EjFI7WAg	10.1.2.147	49410	179.60.149.244	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	zzerxc.com	T	-	-	T	CstiI	-	-	-
1696349571.613564	CZPa8D3OnvAh6VW5d1	10.1.2.147	49411	179.60.149.244	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	zzerxc.com	T	-	-	T	CstiI	-	-	-
1696349573.034694	CJO1Ou3ITDCuSUAW2b	10.1.2.147	49412	179.60.149.244	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	zzerxc.com	T	-	-	T	CstiI	-	-	-
1696349576.180537	CcOW0q4gvGDqtCYnjh	10.1.2.147	49413	179.60.149.244	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	zzerxc.com	T	-	-	T	CstiI	-	-	-
1696349576.556090	CkqpY74SuNWUJ4MYhd	10.1.2.147	49414	179.60.149.244	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	zzerxc.com	T	-	-	T	CstiI	-	-	-
1696349580.383113	CFNiVR3YD9BLupKRY7	10.1.2.147	49415	179.60.149.244	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	zzerxc.com	T	-	-	T	CstiI	-	-	-
1696349584.135307	CKPqid4eU6fEdTYov6	10.1.2.147	49416	179.60.149.244	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	zzerxc.com	T	-	-	T	CstiI	-	-	-
1696349589.136243	CJcTng4sSIPGrUmFNj	10.1.2.147	49417	179.60.149.244	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	zzerxc.com	T	-	-	T	CstiI	-	-	-
1696349592.870074	Cc76qYZW5y237ved4	10.1.2.147	49418	179.60.149.244	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	zzerxc.com	T	-	-	T	CstiI	-	-	-
1696349597.541937	C7nvKH18wxLR6Bya5g	10.1.2.147	49419	179.60.149.244	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	zzerxc.com	T	-	-	T	CstiI	-	-	-
1696349602.468054	CsTNNb4wFaBXpAcrWl	10.1.2.147	49420	179.60.149.244	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	zzerxc.com	T	-	-	T	CstiI	-	-	-
1696349607.801946	CZQM4D7GW61ooWwPg	10.1.2.147	49421	179.60.149.244	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	zzerxc.com	T	-	-	T	CstiI	-	-	-
1696349613.127492	CvoILEYWb6mK2ApO5	10.1.2.147	49422	179.60.149.244	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	zzerxc.com	T	-	-	T	CstiI	-	-	-
1696349618.132398	CWRWyw2w8dAshohXXk	10.1.2.147	49423	179.60.149.244	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	zzerxc.com	T	-	-	T	CstiI	-	-	-
1696349621.574582	ClTy813kS2Ohop7lbb	10.1.2.147	49424	179.60.149.244	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	zzerxc.com	T	-	-	T	CstiI	-	-	-
1696349625.737542	CDArpK2VEGkGzufSKc	10.1.2.147	49425	179.60.149.244	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	zzerxc.com	T	-	-	T	CstiI	-	-	-
1696349630.631486	C9xa6J2RVdNqIwSIhb	10.1.2.147	49426	179.60.149.244	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	zzerxc.com	T	-	-	T	CstiI	-	-	-
1696349634.880177	CiPme23838B6q2ee63	10.1.2.147	49427	179.60.149.244	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	zzerxc.com	T	-	-	T	CstiI	-	-	-
1696349639.224005	CWvfNU2Ahx6tqXQ3Xh	10.1.2.147	49429	179.60.149.244	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	zzerxc.com	T	-	-	T	CstiI	-	-	-
1696349642.731174	CjRal11XExJM5OlWt4	10.1.2.147	49430	179.60.149.244	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	zzerxc.com	T	-	-	T	CstiI	-	-	-
1696349647.978134	C56rBl15754dWQUeqf	10.1.2.147	49431	179.60.149.244	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	zzerxc.com	T	-	-	T	CstiI	-	-	-
1696349649.197433	CVmTSw4W3FIo1gS8eb	10.1.2.147	49432	79.141.175.96	2078	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	x25519	-	F	-	-	T	CsxknGIti	952279a87ece3a66f6dc20cff01c9a992701d8f2fde21b0205fbeb3bff5d2f73	(empty)	-
1696349651.501194	Cju5zE22iJQOHcN2g2	10.1.2.147	49433	179.60.149.244	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	zzerxc.com	T	-	-	T	CstiI	-	-	-
1696349655.389928	CLbPnI3B3XWfFtSh7g	10.1.2.147	49434	179.60.149.244	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	zzerxc.com	T	-	-	T	CstiI	-	-	-
1696349659.569445	CtxU3G3js7DMYOWnL9	10.1.2.147	49435	179.60.149.244	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	zzerxc.com	T	-	-	T	CstiI	-	-	-
1696349663.165712	CDE6GydzeUdnMej8d	10.1.2.147	49436	179.60.149.244	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	zzerxc.com	T	-	-	T	CstiI	-	-	-
1696349667.493798	CuCUbv3McMoQ9pjhCe	10.1.2.147	49437	179.60.149.244	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	zzerxc.com	T	-	-	T	CstiI	-	-	-
1696349672.776703	CdC7Nn4XTIkT8WCe3	10.1.2.147	49438	179.60.149.244	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	zzerxc.com	T	-	-	T	CstiI	-	-	-
1696349677.381412	CAKODG2MKYegMJGVh3	10.1.2.147	49439	179.60.149.244	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	zzerxc.com	T	-	-	T	CstiI	-	-	-
1696349680.878133	CHO3lv25SwEouScvJ1	10.1.2.147	49440	179.60.149.244	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	zzerxc.com	T	-	-	T	CstiI	-	-	-
1696349685.966277	CX42XS2mnfXDQjPahl	10.1.2.147	49441	179.60.149.244	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	zzerxc.com	T	-	-	T	CstiI	-	-	-
1696349690.656083	Ck1LuY3iOFU1hpR3p1	10.1.2.147	49442	179.60.149.244	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	zzerxc.com	T	-	-	T	CstiI	-	-	-
1696349694.683965	ChWnWMovLvuMfITac	10.1.2.147	49443	179.60.149.244	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	zzerxc.com	T	-	-	T	CstiI	-	-	-
1696349695.652888	CuZIEV3oKZGZ0mIhdj	10.1.2.147	49444	179.60.149.244	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	x25519	zzerxc.com	F	-	-	T	CsxknGIti	58def00f21ce4c5ba0cb029de4b4fa0d6e273fe4f3f7ea216e09d3bddb62bfce,67add1166b020ae61b8f5fc96813c04c2aa589960796865572a3c7e737613dfd,6d99fb265eb1c5b3744765fcbc648f3cd8e1bffafdc4c2f99b9d47cf7ff1c24f	(empty)	T
1696349700.109123	C7w7gO26R8BzoUHXLk	10.1.2.147	49445	179.60.149.244	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	zzerxc.com	T	-	-	T	CstiI	-	-	-
1696349700.704981	CT6XlP1D7ZDsU7DbR9	10.1.2.147	49446	179.60.149.244	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	zzerxc.com	T	-	-	T	CstiI	-	-	-
1696349703.738995	CfjN2RTxBJrOlTFO2	10.1.2.147	49447	179.60.149.244	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	zzerxc.com	T	-	-	T	CstiI	-	-	-
1696349704.480154	Colyf33lRkyL6hvqye	10.1.2.147	49448	179.60.149.244	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	zzerxc.com	T	-	-	T	CstiI	-	-	-
